Boundary,Protocol,Timestamp,Frame_Bytes,TCP_Payload_Bytes
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.590813,66,12
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.5945961,69,15
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.5945966,65,11
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.5958545,66,12
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.5997412,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.6028202,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.6074724,65,11
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.6168275,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.6200075,65,11
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.6469183,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.650438,65,11
Middleware <-> TM221 (Modbus TCP),Modbus TCP,1788255651.6541834,66,12
Middleware <-> TM221 (Modbus TCP),Modbus TCP,1788255651.655476,65,11
Middleware <-> TM221 (Modbus TCP),Modbus TCP,1788255651.6554773,60,0
Middleware <-> TM221 (Modbus TCP),Modbus TCP,1788255651.657469,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.6574697,66,12
Middleware <-> TM221 (Modbus TCP),Modbus TCP,1788255651.6582677,66,12
Middleware <-> TM221 (Modbus TCP),Modbus TCP,1788255651.6597176,66,12
Middleware <-> TM221 (Modbus TCP),Modbus TCP,1788255651.6611397,65,11
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.6632595,65,11
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.6718445,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.6761305,65,11
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.6838305,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.6888187,65,11
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.6978579,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.7018273,65,11
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.7131484,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.7172313,65,11
Middleware <-> TM221 (Modbus TCP),Modbus TCP,1788255651.7216785,60,0
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.7261481,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.7302163,65,11
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.7391322,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.742955,65,11
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.7512145,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.7559786,65,11
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.7648227,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.7689717,65,11
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.7778347,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.782014,65,11
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.7902021,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.7918417,66,12
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.795144,69,15
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.7951453,65,11
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.7982147,66,12
Ignition SCADA <-> Middleware (OPC UA),OPC UA,1788255651.799088,259,205
Ignition SCADA <-> Middleware (OPC UA),OPC UA,1788255651.8000367,125,71
Ignition SCADA <-> Middleware (OPC UA),OPC UA,1788255651.8000371,60,0
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.8028078,66,12
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.8028083,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.8059692,65,11
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255651.8144867,118,64
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.8158028,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.8195426,65,11
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255651.8195431,107,53
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255651.8195436,60,0
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255651.8209736,118,64
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255651.8255732,107,53
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255651.8267376,118,64
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.826738,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.8312514,65,11
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255651.8312519,107,53
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255651.8325644,122,68
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255651.83714,107,53
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255651.838231,118,64
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.839849,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.8433025,65,11
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255651.8433032,107,53
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255651.8446143,118,64
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255651.846673,107,53
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255651.8481896,118,64
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.8518343,66,12
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255651.8523948,107,53
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255651.8538723,128,74
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.8555489,65,11
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255651.8555496,108,54
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255651.856791,130,76
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255651.8611658,108,54
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255651.8623886,122,68
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.863821,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.867236,65,11
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255651.8672366,108,54
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.8758411,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.880153,65,11
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.8888395,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.8935685,65,11
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.9012108,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.9041321,65,11
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255651.911344,60,0
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.9148571,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.9200814,65,11
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.9298575,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.9332244,65,11
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.943847,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.9491305,65,11
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.9568403,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.9597988,65,11
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.9698532,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.9732196,65,11
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.9818327,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.9862947,65,11
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.9903808,66,12
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.9946337,69,15
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.9946342,66,12
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1788255651.9959419,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.0002985,65,11
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.0002992,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.008846,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.0135148,65,11
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.0208497,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.024198,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.0331666,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.0371273,65,11
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.0458577,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.049477,65,11
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.058164,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.062765,65,11
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.0711594,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.075899,65,11
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.083894,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.0888627,65,11
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.0961518,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.099764,65,11
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.1078675,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.1123428,65,11
Middleware <-> S7-1200 (OPC UA),OPC UA,1788255652.1178212,153,99
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.139873,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.145145,65,11
Middleware <-> S7-1200 (OPC UA),OPC UA,1788255652.1681707,125,71
Middleware <-> S7-1200 (OPC UA),OPC UA,1788255652.1681726,60,0
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.1848817,66,12
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.19022,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.1902206,65,11
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.193064,69,15
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.195968,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.1988518,66,12
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.2011228,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.2011232,65,11
Middleware <-> TM221 (Modbus TCP),Modbus TCP,1788255652.2077563,66,12
Middleware <-> S7-1200 (OPC UA),OPC UA,1788255652.2092445,150,96
Middleware <-> TM221 (Modbus TCP),Modbus TCP,1788255652.2092452,65,11
Middleware <-> TM221 (Modbus TCP),Modbus TCP,1788255652.2092454,60,0
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.2098863,66,12
Middleware <-> TM221 (Modbus TCP),Modbus TCP,1788255652.2115927,66,12
Middleware <-> TM221 (Modbus TCP),Modbus TCP,1788255652.2122746,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.213761,65,11
Middleware <-> TM221 (Modbus TCP),Modbus TCP,1788255652.2137616,66,12
Middleware <-> TM221 (Modbus TCP),Modbus TCP,1788255652.215256,65,11
Middleware <-> S7-1200 (OPC UA),OPC UA,1788255652.2541854,128,74
Middleware <-> S7-1200 (OPC UA),OPC UA,1788255652.2541866,60,0
Middleware <-> TM221 (Modbus TCP),Modbus TCP,1788255652.2613807,60,0
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.2651808,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.270001,65,11
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.2839189,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.287444,65,11
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.2958708,66,12
Ignition SCADA <-> Middleware (OPC UA),OPC UA,1788255652.2991133,222,168
Ignition SCADA <-> Middleware (OPC UA),OPC UA,1788255652.3000364,125,71
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.300037,65,11
Ignition SCADA <-> Middleware (OPC UA),OPC UA,1788255652.3000374,60,0
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.3088565,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.3129683,65,11
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.3228815,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.326023,65,11
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.3349848,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.3397105,65,11
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.3491943,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.35199,65,11
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.361217,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.365791,65,11
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255652.3727453,118,64
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.3738656,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.3764727,65,11
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255652.3764734,107,53
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255652.376474,60,0
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255652.3776917,118,64
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255652.3824399,107,53
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255652.3832123,118,64
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255652.3877254,107,53
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.387726,66,12
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255652.3886583,122,68
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.390256,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.3939385,65,11
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255652.393939,107,53
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.3939395,69,15
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255652.395082,118,64
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.3960018,66,12
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.4000578,66,12
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255652.4000585,107,53
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.4008636,66,12
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255652.4008641,118,64
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.4060867,65,11
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255652.4060874,107,53
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255652.4076245,118,64
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255652.4120996,107,53
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255652.413077,128,74
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.4148755,66,12
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.4183474,65,11
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255652.4183478,108,54
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255652.419578,130,76
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255652.4242837,108,54
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255652.42525,122,68
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1788255652.4288664,66,12
